,ID,name,city,edition,year
0,38e1b942-a62d-4d74-8e5d-677db6ed425f,Symposium on Networked Systems Design and Implementation,Port Douglas,8,2000
1,07ba6a02-fa13-4c5f-b428-795730d75e53,Big Data,Kingborough,7,2000
2,99e7c820-557f-47b2-80c8-1dd5c2fcbb55,EUROCON Conference,East John,7,2000
3,1d72e5bc-120e-47cd-8320-4b474c2821da,IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering,Bernardshire,3,2000
4,050184ec-becd-4b2d-abef-50c42f1093f4,International Conference on Big Data and Education,Laurenfurt,10,2000
5,62a0df02-79f9-4bba-8524-48ec1a6d0185,International Conference on Big Data Research,Doyleton,2,2000
6,5bc61c59-1b2b-4335-a22e-fdfe00f75583,International Conference on Big Data Computing and Communications,Jordanhaven,2,2000
7,f9af8000-42f8-410d-a622-e8811e41660a,Conference on Uncertainty in Artificial Intelligence,Lake Rebecca,3,2000
8,60b80922-affe-43da-9644-a58a8d98c1de,International Conference on Collaboration Technologies and Systems,Martinton,8,2000
9,7dc964d5-49e6-4c37-b1c4-a7f0de1fa425,International Conference on Web and Social Media,Lopezville,6,2000
10,a0edb93b-1e95-4128-a295-6b1659149cef,Knowledge Discovery and Data Mining,Lake Michael,4,2000
11,b7aa40ac-729b-49d6-9064-4d1a9480e9a9,International Symposium on High-Performance Computer Architecture,Port Ricky,3,2000
12,deedf64a-dd5c-4b33-b345-ff83bfb93d71,International Symposium on Computer Architecture,Nancyside,2,2000
13,09c484a4-ad84-4dc0-8aa1-be2cbc6ae347,ASE BigData & SocialInformatics,Lake Kim,5,2000
14,0dc0e794-53db-401d-bd8f-8da9165b2865,International Conferences on Contemporary Computing and Informatics,Amyfurt,6,2000
15,d9720b90-d60b-48bc-9df8-87a30b9a60dd,Neural Information Processing Systems,Davidtown,9,2000
16,05860b0f-ff70-48a0-a93a-71c4be979650,Cyber ..,Dennisberg,9,2000
17,fc0a208c-acb7-47dc-a0d4-af8190e21d29,International Conference on Machine Learning,Bonillaborough,8,2000
18,b55b50b1-aae7-47a7-b042-8aecc930073d,International Conference on Human Factors in Computing Systems,Fishershire,6,2000
19,a36dc29e-4ea1-4567-b0fe-1c06daf8bee8,International Conference on Software Engineering,South Emilyborough,1,2000
20,528ced1f-e949-4e1a-8fee-2ffbf0be551d,Conference on Innovative Data Systems Research,East Amanda,5,2000
21,2c9ecac6-f875-4a9b-acc2-10bd9f6782df,Technical Symposium on Computer Science Education,Port Diane,1,2000
22,d732841e-83f9-49ec-95ca-389e5568634b,Annual Conference on Genetic and Evolutionary Computation,West Randall,10,2000
23,c85dfc25-bcef-4719-9997-f41ad334d998,International Symposium on Intelligent Data Analysis,Jacksonside,4,2000
24,a88140cf-3ca8-46c2-b1f7-446f137cf336,Frontiers in Education Conference,Natalieville,4,2000
25,42b29bb0-699b-4502-8619-053ee5448d54,Americas Conference on Information Systems,New Jessicaport,4,2000
26,16e8a264-580d-4f0b-ac5a-bba591b2d18d,European Conference on Modelling and Simulation,Lake Stephanieton,1,2000
27,d22e4663-ebe7-4164-9230-8ad579a735a1,The Compass,Robertview,8,2000
28,9c1ac4fb-5b0d-4c77-8dd9-fb9b7375be4d,IEEE Symposium on Visual Languages / Human-Centric Computing Languages and Environments,Catherineborough,3,2000
29,d8ec66ab-0083-4a4d-bf44-ce85d2daad69,Hawaii International Conference on System Sciences,Lake Dawn,3,2000
30,bf8c915b-282b-4817-987d-62e47e42d5e1,Pacific Symposium on Biocomputing,Stevensmouth,4,2000
31,770f1d88-52c2-43dc-a897-6881e70b2f32,International Conference on Data Science and Advanced Analytics,North Matthew,6,2000
32,070a8b94-9234-4a39-bff0-23e0c6b74464,International Conference on Statistical and Scientific Database Management,West Kevin,5,2000
33,440bcee8-1bdc-4957-a227-182d81a49740,International Conference on Exploring Services Science,Andersontown,5,2000
34,46990654-eb6c-4674-96bc-ba905dab2a86,International Conference on Conceptual Structures,Pattersonfurt,9,2000
35,3c2dd17d-6c11-4bb6-9d01-1fc2064cb8df,ACM Conference on Economics and Computation,Gordonview,1,2000
36,84cc6785-24f2-48e0-a7a0-e2c86d22239d,Research Conference of the South African Institute of Computer Scientists and Information Technologists,Singhburgh,9,2000
37,e4e999b7-2be0-4bd0-ad3b-7afd3fe50a4d,Grid Computing Environments,Jerryshire,4,2000
38,14d0272a-18b8-4a25-834b-cf3b120b226f,International Conference on Open and Big Data,Port Amanda,3,2000
39,dea8d7a8-c89e-4de9-bde3-0787594a055f,International Conference on Data Technologies and Applications,Seanview,3,2000
40,7bb54772-a70c-44df-9b9d-9f3b5354c0e2,IEEE International Parallel and Distributed Processing Symposium,New Michelle,3,2000
41,9c119da6-ab17-4403-854e-786882dbf352,Decision Support Systems,Haleland,6,2000
42,f1e82538-dfef-4087-ba93-d855ca08f385,International Conference Geographic Information Science,Thomaschester,8,2000
43,3bc59e53-8413-4f2a-b739-d2b155898833,International Conference on Contemporary Computing,North Timothy,6,2000
44,5545566b-c0b8-418c-83a5-a986a4657572,ACM-SIAM Symposium on Discrete Algorithms,Romerofort,6,2000
45,44350957-4538-46db-9957-ea88ec69a126,PS,North Stacey,5,2000
46,4cd798c9-770b-41bf-a603-531406413b5c,Information Security Solutions Europe,Waynemouth,6,2000
47,060a6ec5-fe85-41b5-b43d-0d4d62b49297,International Conference on Smart Data Services,South Gregoryville,10,2000
48,d2349082-b706-44e1-974b-586e3cbaae34,Workshop on Python for High-Performance and Scientific Computing,Angelahaven,8,2000
49,7b344f25-64fc-416b-901d-07808b4e798f,International Conference on Data Warehousing and Knowledge Discovery,East Mariechester,6,2000
50,47f3ab87-b9a2-4519-a61f-2b025937c786,"International Conference on Internet of Things, Big Data and Security",New Katherine,8,2000
51,2e12583a-7449-4aab-bad7-4e92f4715fb6,International Conference on Information Technology Based Higher Education and Training,Port Davidview,3,2000
52,efa3ff7a-4d96-44a1-a022-a683408919b6,International Workshop on the Semantic Web,Jeremyfort,3,2000
53,6f55e05d-807c-4cc0-a541-1e89abcc993d,IEEE Global Engineering Education Conference,Johnsonfort,2,2000
54,baa9820d-e273-4dc5-8754-8817abd0e3dd,Online World Conference on Soft Computing in Industrial Applications,Meganville,9,2000
55,167fa0ca-e88a-4ef7-a16f-bc66c457c806,European Conference on Computer Vision,West Alison,5,2000
56,764e3630-ddac-4c21-af4b-9d32ffef082e,IEEE International Conference on Data Engineering,Navarroburgh,6,2000
57,d7907408-25bc-4816-a81d-4e0f2f6482c8,IEEE Working Conference on Mining Software Repositories,North Williamville,6,2000
58,f9a81beb-9bcb-43bc-96a7-67cf23dba2d6,European Conference on Machine Learning,Williamschester,4,2000
59,3dbf084c-ef47-4b74-9919-047b40704538,Italian National Conference on Sensors,South Cheryl,4,2000
60,a05ec0dc-bf3e-40e2-9d44-60532d08353a,Ideal,Walkerton,6,2000
61,29b9c461-963e-4d11-b2ab-92c182243942,IEEE Symposium on Security and Privacy,Josephbury,2,2000
62,73df6053-f5c6-46a6-aefc-8a109c2edd9d,EUROMICRO Conference on Software Engineering and Advanced Applications,Lake Kaitlyn,2,2000
63,c85e7d0a-25c2-4202-8c24-42d0293761fd,"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",South Melissa,4,2000
64,68f951c0-009e-4451-9fdd-fb6fb73a47af,ACM/SIGCOMM Internet Measurement Conference,Owenston,7,2000
65,5552b3d9-73b0-435f-8515-a135f23fcbba,Conference on Emerging Network Experiment and Technology,South Kaitlinstad,7,2000
66,c3cb49cb-d5d3-4695-953b-3d8380400cae,International Conference on Engineering Education,East Brianna,4,2000
67,46928df5-96ad-4a8b-9e63-13448e91c488,Workshop on Applied Computational Geometry,Carrshire,8,2000
68,939c6e1d-0d17-4d6e-8a82-66d960df0e40,International Conference on Learning Representations,Lopezfort,6,2000
69,932f8c16-64c0-4af8-a2d6-a549264c976f,ACM SIGCOMM Symposium on Software Defined Networking Research,Port Morganchester,9,2000
70,021b37d3-cef1-4c12-a442-257f7900c23d,Design Automation Conference,South Samuel,6,2000
71,1c2ab05c-7d69-465e-929d-0920857aedce,International Conference on Automated Software Engineering,Amandaborough,10,2000
72,a47b9394-c5c7-4bc8-b8fc-b08f96954278,IEEE International Geoscience and Remote Sensing Symposium,Suttonburgh,5,2000
73,4e8f6cce-6096-494c-ad1a-2083171a8fce,Extreme Science and Engineering Discovery Environment,Deborahmouth,7,2000
74,d5c81521-9f67-4e2e-8576-0b5e0c068bf6,Australian Software Engineering Conference,West Karen,8,2000
75,e6904c24-9546-4135-8344-e3999e375558,Network and Distributed System Security Symposium,West Christon,6,2000
76,12b0a7ac-61a5-4dcf-9931-dab24274efd6,"International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems",Port Deborah,10,2000
77,ff1c300b-71a2-457d-9da2-70b8d01c8934,International Conference on Advanced Data and Information Engineering,New Christopher,7,2000
78,b24455f0-c8b2-4062-8397-1dc279bf6407,International Conference on Evaluation & Assessment in Software Engineering,South Steven,6,2000
79,82901c74-dc2e-4d08-b633-637c7e209284,"Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",West Kathrynport,7,2000
80,9d988347-1c3c-4cf9-9b6f-d15117510bf4,International Symposium on Empirical Software Engineering and Measurement,Lake Dennisfort,7,2000
81,09db9489-fe7f-4374-a9d9-388253be4112,The Sea,Port Darrenland,6,2000
82,23b8d7ac-6e6f-4fe1-9f7e-dc7042815a44,Symposium on Advances in Databases and Information Systems,East Calebland,10,2000
83,1e33b3be-b2ab-46e9-96e8-d4eb4bad6e44,Annual Meeting of the Association for Computational Linguistics,Lake Maryborough,4,2000
84,67f7f831-711a-43c8-8785-1e09005359b5,International Joint Conference on Artificial Intelligence,West Patricia,8,2000
85,4d09f50f-3082-4ec2-99ed-952f28816882,Workshop on Research on Enterprise Networking,Torreston,5,2000
86,f51ff783-cdff-4e22-94fb-28e6336d17b3,International Conference on Computational Linguistics,Cooperhaven,3,2000
87,dee2646c-57cc-4b8b-92c8-98d0d78d35cf,International Conference on Predictive Models in Software Engineering,West Frederick,10,2000
88,5f6c6d59-9c45-42f1-9531-f9d1d0a34ccb,Group,South Martha,2,2000
89,55cbbee6-4000-432f-af6a-c0ffd25ba0c0,Visualization for Computer Security,West Daniel,6,2000
90,5353d583-6f50-4967-ab34-74338b908b90,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,Port Christinamouth,9,2000
91,d481cca3-120e-498a-b947-b3e3a03dbe83,IEEE Symposium on Computational Intelligence for Engineering Solutions,North Roger,1,2000
92,a1e5df48-fbe3-4a59-8c15-5ed0ca3513ee,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,Churchhaven,5,2000
93,d80d58be-58fc-4181-a397-5ac6fd976a47,ACM Symposium on Applied Computing,Port Chadview,7,2000
94,f8e3f8d0-0f40-48c0-b3c0-0c540237b859,Human Language Technology - The Baltic Perspectiv,Port David,7,2000
95,30a8645d-22d4-42e2-b3f6-304bf4ce3a02,International Conference on Computational Logic,Davidport,8,2000
96,4144b5fb-0a80-4663-8ebf-80ca0c47231a,Vision,North Kyle,5,2000
97,8113a511-e0d9-4231-a1bc-0bf5d0212a4e,Symposium on the Theory of Computing,Lake Bonnie,1,2000
98,7654260e-79f9-45c5-9663-d72027cf88f3,IEEE International Conference on Computer Vision,Alexanderland,8,2000
99,af90489e-312f-4514-bea2-bcb399cb8ece,Interspeech,Port Robertfurt,6,2000
100,86c43745-31d9-4c1a-b33f-ce3aa0042dbb,USENIX Symposium on Operating Systems Design and Implementation,Lake Anthonyhaven,10,2000
101,f68b9e7e-ad3d-46cb-857d-23e49384143c,ACM SIGMOD Conference,Joannaport,2,2000
102,d7d7587f-a1e9-46a4-9db5-54c95787c6f1,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,Samuelmouth,1,2000
103,01103732-3808-4930-b8e4-7e9e68d5c68d,North American Chapter of the Association for Computational Linguistics,Port Connieberg,7,2000
104,3978c4ee-3451-46b1-a92c-33686a0e8afe,International Conference on Automatic Face and Gesture Recognition,Tammyhaven,1,2000
105,c884b267-162e-4c75-916e-f7b80bf543f9,International Conference on Biometrics,Liustad,8,2000
106,8f0f5460-2391-4d75-ae39-d9b233b91e0a,Annual Haifa Experimental Systems Conference,New Ian,10,2000
107,975e1529-a14b-436f-ad7e-a09d8eabc50d,IEEE International Conference on Multimedia and Expo,Michaelfort,1,2000
108,768b87bb-8a18-4d9c-a161-4d483c776bcf,Computer Vision and Pattern Recognition,New Jamieview,8,2000
109,f5a49005-d5b9-484b-801d-1a88308f9ca3,Biometrics and Identity Management,Christopherville,6,2000
110,f4989ee4-e1d2-45b4-85ad-c43a8ffef177,ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,West Eric,3,2000
111,78a7fbcc-41c5-4258-b633-04b8637d4a9f,British Machine Vision Conference,Gonzalezview,1,2000
112,187dde4a-2b59-491b-b6cf-1a8618878cdc,International Conference on Mobile Data Management,West Davidberg,8,2000
113,486306ab-f860-4372-9544-62151e34ec3b,Chinese Conference on Biometric Recognition,Laurenburgh,1,2000
114,36345509-1ef5-40ea-8193-7b39cb132760,International Conference on Information Integration and Web-based Applications & Services,Kellyport,8,2000
115,b0c05768-6345-45d7-b541-235edf6ead54,IEEE International Conference on Automatic Face & Gesture Recognition,Lake Douglasborough,4,2000
116,cfc287e4-4c04-4848-ab16-633b33a61a09,International Society for Music Information Retrieval Conference,South Paul,5,2000
117,a5c58053-0673-4cdb-b2b8-b6b0ad6911d1,Very Large Data Bases Conference,Port Joe,2,2000
118,c89c0957-b21e-40c3-9e6c-0ab46adf1e53,International Conference on Image Analysis and Processing,Adamsmouth,2,2000
119,68cf0e99-5164-4480-8ed4-8b8416a091df,IEEE Annual Symposium on Foundations of Computer Science,Jamesville,4,2000
120,e732255b-dd34-4497-9b4d-ac107060f443,International Conference on Advanced Computer Science Applications and Technologies,Osbornbury,5,2000
121,61a709e3-2060-423c-8de5-ffd3885aa31c,International Conference on Medical Image Computing and Computer-Assisted Intervention,West Samantha,2,2000
122,69d79d4c-49aa-4c2b-b616-80100a634f67,Networks,Samanthahaven,10,2000
123,3e64b1c1-745f-4edf-bd92-b8ef122bb49c,International Conference on Artificial Neural Networks,Lake Sonyachester,6,2000
124,f1660451-ee90-4350-a9aa-cd9063707d38,Workshop on Interdisciplinary Software Engineering Research,Rosestad,6,2000
125,0ca4830a-5779-4a1f-8692-5eb621a6ef46,International Conference on Graph Transformation,Timothyland,6,2000
126,e07422f9-c065-40c3-a37b-75e98dce79fe,The Web Conference,South Thomas,7,2000
127,0d6f7fba-7092-46b3-8039-93458dba736b,"IEEE International Conference on Acoustics, Speech, and Signal Processing",Lisaburgh,1,2000
