,ID,name
0,0cc484fd-832a-417b-9c05-01adc7f7c74f,Molecular Plant
1,40d6d72b-fb7c-4fa0-98c0-2f72f340fed4,Iraqi Journal for Computers and Informatics
2,50d67c12-b49a-4957-963e-92cfbb2a86a2,Harvard Business Review
3,100ffd12-b334-4f02-826b-8ac408e7df49,International Journal for Research in Applied Science and Engineering Technology
4,2f5d0e8a-faad-4f10-b323-2b2e3c439a78,Lecture Notes in Computer Science
5,b4ddf99b-89f6-42b4-8bbc-9bde693530cf,International Journal of Information Management
6,d60da343-ab92-4310-b3d7-2c0860287a9d,Journal of Big Data
7,5faaa538-f6a0-4867-b6f9-c0dedc4fd2de,The Information Society
8,69c55941-42d0-4d07-bc3f-9a98c51b8fe7,The International Journal of Advanced Manufacturing Technology
9,5dc79bde-acf4-4b60-b7ad-5bb769def869,The Review of financial studies
10,85a69b03-d2bf-4387-bc2f-98b2fe823b23,Enterprise Information Systems
11,fa31ff53-6717-46c5-934d-9f21c27f96ba,Big Data Mining and Analytics
12,fa8d1257-1eac-4ab9-a703-8b639ab83c3d,British Journal of Management
13,2633f5b2-c15c-49fe-80f5-07523e770c26,IEEE Access
14,b08588b2-9ba8-4469-a6d4-f0b88977b64f,Journal of Evidence-Based Medicine
15,228761ec-c40a-479b-8309-9dcbe9851bcd,IEEE Internet of Things Journal
16,bc2801b8-b059-4ee4-be9a-cd1943f45bf3,Information Systems
17,9e995b6d-f30b-4ab4-a13b-3dc2cc992f47,Nature Network Boston
18,c6840156-ee10-4d78-8832-7f8909811576,IEEE Transactions on Knowledge and Data Engineering
19,ccd6a358-7326-42a7-95e5-bd515c9b5e6c,Management Decision
20,43b3f0f9-489a-4566-8164-02fafde3cd98,Nature Communications
21,2d566e52-4ac0-4cfe-ad58-646e5d26e286,Annual Review of Pharmacology and Toxicology
22,f22e1b5b-b6d7-45c1-a31e-40ebea2fd729,Review of Research in Education
23,e46002a1-d7a6-4681-aae9-36bc3a6a1f93,Information Sciences
24,4bb62465-2dd3-4eca-923f-4649b9dea666,The Lancet Oncology
25,48fabb98-feb7-4ad6-a81c-bb2f9a779eb2,Cities
26,f1cd35f5-674c-4432-8d98-39515dc35220,"International Journal of Minerals, Metallurgy, and Materials"
27,99b00e0c-56b4-4079-91b7-0fa64b30b1ca,Gut
28,2135230a-3b24-4b71-9583-60624389377a,IEEE Transactions on Industrial Informatics
29,9cc701cf-1f49-4121-8ea9-11bac24d61ad,IEEE Transactions on Big Data
30,4d899b46-b5c8-436e-8ce3-084673ea8905,Big Data & Society
31,142347a8-a3f6-4ce4-bc56-09bc8fc9461d,Frontiers in Medicine
32,22d4d854-0529-4aaa-ab6c-12a2e6895428,Contemporary Sociology
33,c3875580-2cce-4a95-a094-fff60bb381b9,International Journal of Data Science and Analysis
34,da769d11-3534-4eb1-ae4a-ebe85bc80478,Journal of business research
35,95d0dda7-5d58-4afd-b59f-315447b81992,IEEE Communications Surveys and Tutorials
36,6ce750f8-2625-40c2-a456-985b0f5f671c,International Journal of Obesity
37,f59506a8-d8bb-4101-b3d4-c4ac3ed03dad,Science
38,88c80a98-d314-4d37-89c7-2a709d1465b4,International Journal of Big Data Management
39,ede7e9cc-1657-47d5-bcf1-1ca3b056bf9d,Journal of Management Information Systems
40,e3e1f91c-fe26-4f67-8d15-f7acd8abdf42,Future generations computer systems
41,dc31f077-7737-4e33-baa3-bceeff44ec27,New England Journal of Medicine
42,247cac2c-d387-4a11-acb8-59fcae2e52b0,American Journal of Epidemiology
43,373ee421-9890-40bc-87d7-59518033a715,Environmental Research Letters
44,ff159887-5591-495e-8a29-710e87e64127,International Journal of Production Research
45,ea8553fe-2467-4367-afee-c4deb3754820,Artificial Intelligence Review
46,8270cfe1-3713-4325-a7bd-c6a87eed889e,Entropy
47,ef1356d5-69c7-484e-a110-3efae1e93ecc,IEEE/CAA Journal of Automatica Sinica
48,95308966-10a0-4b50-b00f-f130a37f7d3c,Journal of Cleaner Production
49,bf228014-e6ea-4397-96c9-3fd22beb2f75,British Journal of Educational Technology
50,5eb1fac4-44ea-4270-b31e-3fb4dd8247cb,Technological forecasting & social change
51,435ffef1-21df-491d-b69a-605eee1b7f7f,Computers in Human Behavior
52,e2742a49-1b55-4a31-b319-7455fa5e12d4,IEEE Transactions on Services Computing
53,b027d622-9782-46a0-8943-37943decc4f8,Television & New Media
54,cfba4c02-99bc-4eb2-99f8-6dc5361891af,Tourism Management
55,38637b62-4047-4fcf-96c9-e7756a775739,Information Systems and E-Business Management
56,652ebba2-a6f1-4326-8075-b04c65ab304e,American Sociological Review
57,38a8edf0-2998-4daf-93f7-16f34689e228,IEEE Systems Journal
58,6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a,Nature
59,79af09a2-54e8-4f97-8edf-9fba208ab744,International Journal of Digital Earth
60,8775599f-4f9a-45f0-900e-7f4de68e6843,Sustainability
61,97033a25-f03c-4ad0-aef7-a1ff724d264d,Science and Engineering Ethics
62,3945ce8c-fa3e-49e3-a723-2c96a64da989,GeoJournal
63,06afdd0b-0d85-413f-af8a-c3045c12c561,Information Fusion
64,d49d1529-c7d5-4c86-8c1a-0c052de876a4,Journal of strategic information systems
65,afe1e422-be11-407c-b015-42ce93aac874,IEEE transactions on consumer electronics
66,12a761bc-6ed4-4ddf-80ac-e42c4b29f922,European Journal of Innovation Management
67,894b1202-d279-49e2-9809-a2a20d8903b1,Current Opinion in Biotechnology
68,5d2ac1a1-1fcd-4505-8b9d-5484ad5ffa66,Journal of King Saud University: Computer and Information Sciences
69,e02556fc-b810-416f-9564-71d4190e0473,Journal of Computational Information Systems
70,bb6fa91a-0a4c-40f8-80a2-93ceb3ae3bd4,International Journal of Contemporary Hospitality Management
71,80fdf70e-8520-4bb7-b387-3abebc9970b7,Computers and Electronics in Agriculture
72,adda3809-3ea0-4184-8021-182f78a9558b,Information Manager (The)
73,df12d289-f447-47d3-8846-75e39de3ab57,Neurocomputing
74,8b03733e-25e3-49b5-803c-58c0e9e11180,Annals of Applied Statistics
75,0afaa6a1-50d0-488d-acc8-13637b573b5b,Energy Informatics
76,641e5cdb-8620-434d-9779-cb9bcf16cd93,Annual Review of Public Health
77,3b4e0d11-3211-4ead-848c-99928b5ef30e,IEEE Network
78,83ff973b-8a0e-4e00-a06a-2cfd9e222de9,PLoS Biology
79,341d8f49-2ea6-48ef-8053-c49cddebb1e1,MRS bulletin
80,0defaf4a-44d7-4ee8-b512-10d8532adcc9,Annual Review of Resource Economics
81,e18027ea-e736-4e3a-b7c3-ae50667d79f5,Journal of Integrative Bioinformatics
82,44a8affe-ff49-4c97-915b-0e4378776101,International Journal of Emerging Technologies in Learning (iJET)
83,05ef40b5-adc2-4605-85d8-20a457888264,Kidney Research and Clinical Practice
84,55699d01-98b3-4582-a9a1-579cb68d31c9,Journal of Management Analytics
85,abe20b62-4958-4cfc-a05f-b87f4051f1a9,BioScience
86,3096eb5c-d18c-4877-94cd-28edd3a9c357,International Journal of Environmental Research and Public Health
87,9ff88422-6027-4eae-bdca-9cb3d07e79b8,Journal of the AIS
88,2e8c30d0-78f6-4b13-aecb-9a65bff00635,IEEE wireless communications
89,7c9d091e-015e-4e5d-a11f-9bc369fcf414,IEEE Transactions on Parallel and Distributed Systems
90,b63afa0b-108b-4881-994b-346567e4bf62,Healthcare Informatics Research
91,d3dd5449-daa1-4d57-9412-9add6037584f,Frontiers in Public Health
92,21b370ff-cb87-4599-b39a-25cd5a1b03cb,Electronic Markets
93,63f2d4cb-31e9-465e-a09f-a48b034b7210,EURASIP Journal on Advances in Signal Processing
94,37f5b9b7-f828-4ae1-a174-45b538cbd4e4,Information Processing & Management
95,da96c220-cd39-4894-bae6-d2d77c8e7aa9,Nucleic Acids Research
96,3048b449-a773-4256-9bb5-5e61fbb61e52,British medical journal
97,7a61412a-9a9a-487d-9613-5a1fbd879c9d,Neuron
98,7b2adce0-d53f-49d6-8784-b0645604fe62,ACM Computing Surveys
99,93be7524-e38d-4d5a-b7f1-bb2b08b85275,Data Science Journal
100,2e70cc37-125a-451c-b9bb-3b329f6be510,Annals of Operations Research
101,9f2d654c-c16c-46ce-8e82-9afcfab01f76,Journal of Integrative Agriculture
102,e97b6537-a7e6-449e-b131-18cdc4def33e,Economics of Innovation and New Technology
103,7c832ea7-321d-4d93-bbaf-281e9d6649d7,IEEE Transactions on Biomedical Engineering
104,2c7ed123-ef0e-4d9f-83ec-3cb8d6fbe9a2,Journal of Accounting Literature
105,9cf634df-e30b-4e2a-aeb7-84a126ce8861,Chest
106,42af0896-7bcc-4002-8d09-63fd18f13f53,Journal of Internet Services and Applications
107,ca61b508-d706-40a4-8b54-d657dd6cd9d6,ACM Transactions on Knowledge Discovery from Data
108,c52375db-5573-406f-a12b-854c7ba98498,BioMed Research International
109,c43b45aa-3d1a-46b5-a46c-0671bd304156,Journal on Data Semantics
110,0e3009e5-bbbe-4cf5-b44c-61fa315c137f,Vikalpa The Journal for Decision Makers
111,b69f6266-541f-451d-82fe-328b72076cf2,Policy sciences
112,8506a01a-40b8-4e6f-bbb8-ce2492139c15,International Journal of Molecular Sciences
113,5ed06dcb-b965-4071-a8b6-2867794825a1,Global Journal of Flexible Systems Management
114,477368e9-7a8e-475a-8c93-6d623797fd06,Multimedia tools and applications
115,ec497fa8-833a-4d68-873a-539c20989c22,Advanced Engineering Informatics
116,38a3ba3f-f532-4ba9-a866-a020c30650a9,Journal of Knowledge Management
117,cb38a4ef-49af-4068-b009-fa12761253f0,Annual Review of Chemical and Biomolecular Engineering
118,4293c8e8-8cd7-4be6-b8b2-69f2b4fa3259,Computer Applications in Engineering Education
119,ee2dd599-75c3-4b69-b970-053972631b37,Big Data Research
120,855d4173-dc30-48dc-96c2-42a5b6372940,IEEE Transactions on Emerging Topics in Computing
121,0a8df943-e5dc-4a57-b26f-ca35e4e09a97,SIAM Journal on Mathematics of Data Science
122,6faaccca-1cc4-45a9-aeb6-96a4901d2606,Proceedings of the IEEE
123,9abcecc2-be15-4a05-9b21-dda38f5a8161,Data & Knowledge Engineering
124,05f4640f-1261-4186-8153-0cb50b1169b3,Journal of Chemical Theory and Computation
125,6fff9d04-a29e-4e37-87e8-27e06da9055c,Journal on spesial topics in mobile networks and applications
126,3c497f14-18a8-43f7-835c-06272cacfb47,Nature Reviews Cardiology
127,a1b15bc8-157e-45a9-b4c8-8211f938775d,IEEE Communications Magazine
128,dc6419f3-98b3-4718-bba0-6b6d6c3d192b,JMIR Medical Informatics
129,c1ad6952-f4b0-4b01-9473-34375de7db8f,Health Affairs
130,8a339d82-a3aa-4421-8fb4-94effc07509f,Journal of Information and Technology
131,1f55639d-134e-44ae-b050-ccf2a6676bc5,Knowledge and Information Systems
132,4d9ce1c4-dc84-46b9-903e-e3751c00c7dd,Communications of the ACM
133,ede12bac-98d4-4fd6-823d-e8a6c578a52d,AIP Conference Proceedings
134,67d58c4e-2829-40b8-bce5-4daddb299da1,Quality and Reliability Engineering International
135,f62e5eab-173a-4e0a-a963-ed8de9835d22,IEEE Signal Processing Magazine
136,eac74c9c-a5c0-417d-8088-8164a6a8bfb3,IEEE journal of biomedical and health informatics
137,b7a6fa65-f658-4ac0-ad99-3ba082b8bad8,Information Systems Journal
138,80d65c2a-75d2-4eeb-9aff-622dfa7888b0,The Journal of Information Systems
139,e81d1e0a-38f9-4519-8a43-f5eb2a934efc,BMC Medical Genomics
140,3235a2bb-118f-4abc-9046-80342279a154,Industrial management & data systems
141,8d081599-bd1b-4e77-8db6-d4ad0977e655,Foundations of Science
142,7404efea-88b2-4c7c-8cb1-b3a8ced6363f,IEEE Intelligent Systems
143,3c8f4cec-a435-421a-b301-785e136e65e5,Journal of Infectious Diseases
144,7e0547d5-ec21-470f-bdc9-b7615fc83a29,Data Science and Engineering
145,1c2f3998-b5ca-48ca-9991-94b71c71ecb7,IEEE Transactions on Smart Grid
146,2c469df0-fa01-4dee-8f25-0d87a6fc4ef1,Proteomics
147,75d7a8c1-d871-42db-a8e4-7cf5146fdb62,Social Science Research Network
148,3e81e683-06a3-47b2-8849-f098724b4fe6,Journal of International Humanitarian Action
149,6b25cc59-3bb5-4b47-819e-d95ba292c4f7,Information systems research
150,36d2be9e-7824-4614-a901-dd808a6e2e49,Social Science Research
151,bca882ff-4259-4fb4-a778-5a7f4d82887c,Information Technology & Tourism
152,bc95ac8b-1337-42a3-951a-6d6d4e973359,Health Information and Libraries Journal
153,5218cd8f-e9a8-4825-8fcf-ffab8230c857,Public Understanding of Science
154,458166b3-de17-4bf3-bbbb-e53782de2f0f,Nature Biotechnology
155,759663ae-c1b4-41ef-9231-384ab473d4b4,Journal of Organizational and End User Computing
156,0a96e67f-c1f1-491d-ab41-4c2c50b523a2,Genome Research
157,41dbb273-8d18-4a45-8154-852882a37b34,Genome Biology
158,099483df-e8f2-4bee-805d-8a69f07b6cbf,Nature Methods
159,b3a217d4-f456-4394-9e5b-b39ab19d1b3e,Irish Journal of Medical Science
160,f458795b-af97-4b7c-ba4e-d57bbb57f90a,Chemical Reviews
161,3c27e831-750f-45bc-9914-2148a5259eba,IEEE Transactions on Artificial Intelligence
162,1f6f3f05-6a23-42f0-8d31-98ab8089c1f2,IEEE Transactions on Signal Processing
163,62924b2a-8fb8-4b93-92c6-735516b49af0,Scientific Data
164,7fac555d-41ef-410c-9c84-ed584a9cff7f,Journal of Geographical Systems
165,961301b0-6f5a-44a6-9216-54b673cded78,Journal of Statistics and Data Science Education
166,17bac89e-3dba-467a-b9d4-71e3baefb08b,Patterns
167,bb95bf2e-8383-4748-bf9d-d6906d091085,Proceedings of the National Academy of Sciences of the United States of America
168,aa746a02-d187-42c2-bdf9-df6a5d4e648c,Computer/law journal
169,27475f31-a1d2-401b-84ad-9b405c7609a8,Journal of Epidemiology and Community Health
170,92d34d37-5c4b-4e11-b461-9041b7de4c2d,Philosophical Transactions of the Royal Society of London. Biological Sciences
171,349a6ffc-3527-4d3d-aef4-8372fbc1a084,Engineering
172,ee1b24c6-e4e7-4f90-af25-166a9eff8e3a,Small Business Economics
173,09bb329a-45bc-4561-860f-c8ac0e958895,Ethics and Information Technology
174,55511511-6974-4037-92a4-aec79ba003fe,Metabolomics
175,c0ded351-0e49-473e-816e-23b84c9f8dd3,Frontiers in Environmental Science
176,3fe65a3e-606b-4377-8de1-b3f779646e1e,"Annual review of political science (Palo Alto, Calif. Print)"
177,d949c7f0-1213-4a16-a6ab-134862369b91,Journal of Library and Information Sciences
178,2baad992-2268-4c38-9120-e453622f2eeb,Journal of Medical Internet Research
179,bc30f894-9a9c-440e-8420-7bd3c5624384,The Journal of the Learning Sciences
180,e4c9326f-17a0-48c8-85c6-2975945f4395,Journal of Biosciences
181,93a7b6aa-3a96-4e75-a837-cbd3660e8a72,Geographical Analysis
182,ed4bb98c-600b-477e-9e9a-653127045ec0,CHANCE : New Directions for Statistics and Computing
183,70337d1b-fdf7-4fcb-b391-e096feba3748,BMC Medicine
184,8b172637-3435-4dd3-a753-5035b814ff39,American Statistician
185,8719d091-7af9-44c2-99b9-bc600f0f4134,Applied Stochastic Models in Business and Industry
186,5821d52f-e54a-4b02-981a-dd16fec9a115,TOP - An Official Journal of the Spanish Society of Statistics and Operations Research
187,da1f558d-7744-4ce7-9b43-0a73f0057985,Journal of Library Administration
188,94cf7e5d-ed99-4849-b9b9-17ed670f5e6e,Journal of Social Computing
189,fcbcaf18-8ab1-43e1-a973-604bbc7e344e,Proceedings of the VLDB Endowment
190,5619586e-de5a-4bc3-ac80-04dd8530d80c,Nature Biomedical Engineering
191,329e28c6-84e0-4d75-a58e-ddac24c52d4e,International Journal of Population Data Science
192,fbed5c1a-cebb-4bdd-8ca8-022b3bdd9cfb,Ethnicity & Disease
193,789f162c-4b52-4f36-92f2-e19de5c8af8c,Data Science
194,1ec361d9-6d57-4fd4-b0bd-c85044a7e1c3,"Science, Technology and Human Values"
195,b7e5a3b3-2519-4ca2-8870-c2b45ef76ab9,Nature Human Behaviour
196,74527bdc-72cb-43a1-837d-5af4a24089b7,Environmental Modelling & Software
197,bd7cf538-b981-449d-9e6c-64fa64047126,Philosophy & Technology
198,7d2997cd-251d-4613-b0eb-d44a29a52df8,Journal of Data and Information Science
199,510b2578-cf47-45c1-b866-c0402df7a780,Japanese Journal of Statistics and Data Science
200,c9ec8f1c-d8e0-4555-b6ca-a068b79b1e40,Business & Information Systems Engineering
201,0bf2c493-a93b-464a-b3d9-e18fbb4a7965,IEEE Computer Graphics and Applications
202,82cd90f0-386f-4446-b237-6404c27f6a15,Communications in Computer and Information Science
203,435bb11d-c0fe-4815-b98e-46c313be8ce7,Journal of Decision Systems
204,dd522c0a-e715-4d95-9ed7-e60346254ddf,Statistics and computing
205,71b4e956-03b5-4545-ad85-567b2567ed26,Nursing Administration Quarterly
206,73bffa79-c19d-4df3-99ff-a2d01e3f89ae,Journal of Biomechanics
207,c737deea-2a9a-4225-aa20-19a7d1c9c702,International Journal of System Dynamics Applications
208,f3b9cfef-ea93-4f7f-a14f-95fbf796875e,IEEE Geoscience and Remote Sensing Magazine
209,9ec189b3-db0f-41d8-9c82-21ef5fa9b87e,Frontiers in Genetics
210,2a65d17a-afd8-466e-aff3-e0d0fbc84fb0,International Journal of Intelligent Computing and Cybernetics
211,427d3401-f800-43c4-84ad-76e19faa88d0,College and Research Libraries
212,93906da2-687f-4184-8437-40998086f409,Nature Reviews Methods Primers
213,5bd34b7c-17b3-4080-96c2-50bd51fcab3a,Quantitative Science Studies
214,be3f884c-b44a-496a-a593-1cad3f89d254,BMC Bioinformatics
215,02b0e95f-1216-4dfe-b50d-fdb87b421ec8,EOS
216,8bff20bd-db46-46fa-9cc1-85f4a48942a8,Women in Sport & Physical Activity Journal
217,28927fa0-8dca-4082-a7d0-abd989c8ef12,Advancement of science
218,1a624d3a-7238-4368-b208-cdebb1e8ccc8,Nuclear Data Sheets
219,89854b22-3ed7-4225-a29b-3d9aca5f6b90,Psychological Science in the Public Interest
220,027ffd21-ebb0-4af8-baf5-911124292fd0,bioRxiv
221,8616055e-b299-48e3-8ef3-d3483786063a,Frontiers in Climate
222,7652ece8-fbd3-4050-b927-cf29d7f0eaa8,Astrophysical Journal
223,7fb6a536-d19e-4526-8585-8be7b1943478,Science Education
224,0535c107-9d95-4d92-8b39-d8eca506d035,Biological Conservation
225,849d78f8-8160-4ca1-8cd8-84253f6abdf6,American Political Science Review
226,e22bca8b-b989-4c40-9dbc-7b75f8a28673,Comprehensive Reviews in Food Science and Food Safety
227,b81a92f9-b5d3-48b2-afb5-dacad73fa6d9,MRS Communications
228,5cbedab5-cba8-430a-82af-b4d2a683e424,ICES Journal of Marine Science
229,f3157ea6-5ef2-47eb-90ca-f81947c40906,Comptes rendus. Mecanique
230,b3c3187d-18c6-4d52-8596-9c4f882f647a,Regular Issue
